artist_name,﻿genre,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Ariana Grande,Dance,One Last Time,7xoUc6faLbCqZO6fQEYprd,84,0.093,0.628,197267,0.593,1.65e-06,G#,0.096,-5.036,Major,0.0323,125.026,4/4,0.104
Julia Michaels,Dance,What A Time (feat. Niall Horan),5WtfUKzXircvW8l5aaVZWT,84,0.662,0.518,173307,0.467,0,C,0.0853,-6.184,Major,0.0302,132.854,4/4,0.386
David Guetta,Dance,Better When You're Gone,4Tvw0lweq9l2JPQKFbpbBQ,85,0.0635,0.647,192402,0.795,0,C#,0.188,-3.548,Minor,0.0372,127.992,4/4,0.409
Hailee Steinfeld,Dance,Starving,4Ce37cRWvM1vIGGynKcs22,82,0.378,0.729,181880,0.615,0,E,0.105,-4.238,Major,0.0647,99.989,4/4,0.508
Madison Beer,Dance,Hurts Like Hell (feat. Offset),3WefHNGtjexZvi66ZEx9u4,82,0.185,0.704,207109,0.56,0,C#,0.0948,-6.791,Minor,0.179,75.003,4/4,0.609
Dua Lipa,Dance,"Swan Song (From the Motion Picture ""Alita: Battle Angel"")",5600nq7TiBraBX2jobyJ3l,87,0.00579,0.588,182075,0.821,0.000275,F,0.208,-6.54,Minor,0.216,188.098,4/4,0.509
Demi Lovato,Dance,Sorry Not Sorry,3Du2K5dLzmduCNp6uwuaL0,82,0.0223,0.702,203760,0.635,0,B,0.283,-6.917,Minor,0.265,144.004,4/4,0.873
Ariana Grande,Dance,Side To Side,1pKeFVVUOPjFsOABub0OaV,84,0.0513,0.65,226160,0.736,0,F#,0.235,-5.84,Minor,0.229,159.174,4/4,0.612
Halsey,Dance,Without Me (with Juice WRLD),6Zc5f20q7sOe1IC1c1jQvZ,80,0.351,0.742,228816,0.515,0,F#,0.184,-6.103,Major,0.0747,136.02,4/4,0.452
Mabel,Dance,Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,90,0.296,0.674,178480,0.881,3.01e-06,A,0.0793,-2.853,Major,0.147,98.994,4/4,0.234
P!nk,Dance,Walk Me Home,7DHApOHsIFo7EyfieArYGE,84,0.0519,0.652,177391,0.453,0,C#,0.179,-6.119,Major,0.0445,88.038,3/4,0.432
Shawn Mendes,Dance,Lost In Japan,79esEXlqqmq0GPz0xQSZTV,84,0.255,0.713,201200,0.738,0,A#,0.106,-6.784,Major,0.374,105.027,4/4,0.425
Galantis,Dance,Bones (feat. OneRepublic),1pfgsjmxVZhoZpeDx6POKv,85,0.00464,0.66,205793,0.788,0,C,0.179,-5.844,Major,0.0374,120.048,4/4,0.494
Bruno Mars,Dance,Just the Way You Are,7BqBn9nzAq8spo5e7cZ0dJ,80,0.0151,0.637,220733,0.843,0,F,0.0876,-5.413,Major,0.0432,109.012,4/4,0.434
Dua Lipa,Dance,IDGAF,76cy1WJvNGJTj78UqeA5zr,86,0.0403,0.836,217947,0.544,0,G,0.0824,-5.975,Major,0.0943,97.028,4/4,0.51
Bazzi,Dance,3:15,6pmZMP2ET1OJi5rKfLO8jD,77,0.385,0.651,167019,0.654,0,C#,0.181,-5.481,Major,0.0466,141.975,4/4,0.539
Lennon Stella,Dance,La Di Da,2YyvWje3cEYyqgYhNUIaBJ,81,0.195,0.689,209773,0.679,0.00111,G,0.224,-5.893,Major,0.0517,149.972,4/4,0.475
Zedd,Dance,365,2XWjPtKdi5sucFYtVav07d,88,0.339,0.745,181900,0.693,0,D,0.123,-5.479,Minor,0.034,98.039,4/4,0.248
Whitney Houston,Dance,I Wanna Dance with Somebody (Who Loves Me),2tUBqZG2AbRi7Q0BIrVrEj,82,0.207,0.709,291293,0.824,0.000307,C#,0.0888,-8.824,Major,0.0453,118.814,4/4,0.867
Taylor Swift,Dance,Delicate,6NFyWDv5CjfwuzoCkw47Xf,80,0.216,0.75,232253,0.404,0.000357,A,0.0911,-10.178,Minor,0.0682,95.045,4/4,0.0499
Ariana Grande,Dance,sweetener,70khXICDeTTxgYtw3EysKH,79,0.248,0.721,208493,0.459,0,E,0.212,-6.408,Major,0.032,119.914,4/4,0.46
Miguel,Dance,Sky Walker (feat. Travis Scott),5WoaF1B5XIEnWfmb5NZikf,77,0.173,0.674,259333,0.506,0,F#,0.0866,-10.532,Major,0.0434,145.965,4/4,0.183
Zara Larsson,Dance,Ruin My Life,5tAa8Uaqr4VvA3693mbIhU,88,0.423,0.665,190932,0.699,0,B,0.0969,-5.265,Major,0.0578,124.896,4/4,0.585
Mark Ronson,Dance,Uptown Funk,32OlwWuMpZ6b0aN2RZOeMS,82,0.00801,0.856,269667,0.609,8.15e-05,C,0.0344,-7.223,Major,0.0824,114.988,4/4,0.928
Bazzi,Dance,Why,7lozLnUfzcgEpMMVQI7yhA,78,0.353,0.676,148260,0.67,0,G#,0.103,-6.584,Major,0.0374,113.01,4/4,0.54
Julia Michaels,Dance,Issues,7vu0JkJh0ldukEYbTVcqd0,76,0.401,0.728,176320,0.415,0,G#,0.0616,-6.852,Major,0.0639,114.145,4/4,0.455
NOTD,Dance,So Close,7FjZU7XFs7P9jHI9Z0yRhK,86,0.121,0.7,190302,0.872,7.08e-06,A#,0.103,-5.896,Major,0.0666,125.03,4/4,0.761
Ariana Grande,Dance,R.E.M,1xWH8zYtDeS9mW1JJG23VZ,77,0.375,0.831,245667,0.485,1.47e-05,A#,0.118,-6.677,Minor,0.15,80.022,4/4,0.622
Ariana Grande,Dance,Dangerous Woman,7l94dyN2hX9c6wWcZQuOGJ,81,0.0529,0.662,235947,0.602,0,E,0.356,-5.369,Minor,0.0401,133.969,3/4,0.29
Calvin Harris,Dance,One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,89,0.037,0.791,214847,0.862,2.19e-05,A,0.0814,-3.24,Minor,0.11,123.994,4/4,0.592
Zedd,Dance,Happy Now,4keoy2fqgwGnbWlm3ZVZFa,85,0.579,0.503,207030,0.741,1.49e-06,E,0.0712,-5.128,Major,0.047,88.335,3/4,0.458
Shawn Mendes,Dance,Treat You Better,3QGsuHI8jO1Rx4JWLUh9jd,85,0.106,0.444,187973,0.819,0,A#,0.107,-4.078,Minor,0.341,82.695,4/4,0.747
Luis Fonsi,Dance,Despacito - Remix,6rPO02ozF3bM7NnOV4h6s2,82,0.228,0.653,228827,0.816,0,D,0.0967,-4.353,Major,0.167,178.086,4/4,0.816
Lady Gaga,Dance,Million Reasons,7dZ1Odmx9jWIweQSatnRqo,83,0.437,0.665,205280,0.424,0,C,0.107,-7.838,Major,0.0444,129.911,4/4,0.134
Dua Lipa,Dance,New Rules,2ekn2ttSfGqwhhate0LSR0,86,0.00261,0.762,209320,0.7,1.56e-05,A,0.153,-6.021,Minor,0.0694,116.073,4/4,0.608
Tiësto,Dance,Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,86,0.374,0.747,215760,0.834,0,D#,0.0586,-2.867,Minor,0.045,128.005,4/4,0.687
Bazzi,Dance,Beautiful,5TVirkSwFEXF1nLJEebe2I,78,0.214,0.666,178242,0.677,0,D,0.0979,-5.743,Major,0.0326,100.014,4/4,0.178
Why Don't We,Dance,8 Letters,4zRZAmBQP8vhNPf9i9opXt,81,0.649,0.607,190027,0.478,0,C#,0.0928,-5.702,Minor,0.031,88.979,4/4,0.255
Sabrina Carpenter,Dance,Sue Me,3WVhkjB7Y4xFruqoCAajBb,80,0.0422,0.46,179227,0.809,5.04e-05,F#,0.138,-5.415,Major,0.326,157.184,4/4,0.609
Bruno Mars,Dance,24K Magic,6b8Be6ljOzmkOmFslEb23P,80,0.034,0.818,225983,0.803,0,C#,0.153,-4.282,Major,0.0797,106.97,4/4,0.632
Bazzi,Dance,Honest,11Tfh16o0SW8KdiQdeESEX,77,0.309,0.677,175093,0.594,0,G,0.118,-6.264,Major,0.0695,76.996,4/4,0.427
Hailee Steinfeld,Dance,Most Girls,10GJQkjRJcZhGTLagFOC62,79,0.0485,0.76,204400,0.588,0,A,0.0847,-7.082,Major,0.0775,102.974,4/4,0.384
Shawn Mendes,Dance,There's Nothing Holdin' Me Back,7JJmb5XwzOO8jgpou264Ml,84,0.38,0.866,199440,0.813,0,B,0.0779,-4.063,Minor,0.0554,121.998,4/4,0.969
Anne-Marie,Dance,2002,2BgEsaKNfHUdlh97KmvFyo,86,0.0372,0.697,186987,0.683,0,C#,0.137,-2.881,Minor,0.117,96.133,4/4,0.603
Backstreet Boys,Dance,I Want It That Way,6e40mgJiCid5HRAGrbpGA6,79,0.216,0.689,213600,0.702,0,F#,0.159,-5.642,Minor,0.0261,99.031,4/4,0.484
Jeremy Zucker,Dance,all the kids are depressed,75ls0gurX68lUmMjE7QcsE,76,0.836,0.773,169973,0.437,2.42e-05,A,0.544,-8.281,Major,0.0963,103.861,4/4,0.707
Julia Michaels,Dance,Anxiety (with Selena Gomez),1XJ93XskwJf7PCyIVLbNBt,83,0.571,0.803,210147,0.384,0,G,0.194,-6.522,Major,0.179,141.924,4/4,0.503
Calvin Harris,Dance,Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,90,0.0119,0.781,213309,0.768,4.91e-06,B,0.325,-5.991,Major,0.0394,123.07,4/4,0.486
Shawn Mendes,Dance,Lost In Japan - Remix,575NJxNUVDqwJGdzBrlLbv,83,0.0882,0.694,201253,0.852,0,G,0.334,-5.34,Minor,0.257,107.178,4/4,0.377
The Chainsmokers,Dance,Something Just Like This,6RUKPb4LETWmmr3iAEQktW,83,0.0498,0.617,247160,0.635,1.44e-05,B,0.164,-6.769,Minor,0.0317,103.019,4/4,0.446
Alec Benjamin,Dance,If We Have Each Other,7pT6WSg4PCt4mr5ZFyUfsF,77,0.698,0.656,181522,0.577,0,A#,0.296,-5.566,Minor,0.0802,173.094,4/4,0.861
Liam Payne,Dance,Strip That Down,4Ro98RCK90oHqqSZUnTFq5,81,0.22,0.874,204502,0.497,0,F#,0.0761,-5.484,Major,0.0562,106.023,4/4,0.542
Charlie Puth,Dance,Attention,5cF0dROlMOK5uNZtivgu50,83,0.109,0.775,208787,0.613,2.33e-05,D#,0.134,-4.586,Minor,0.0542,100.066,4/4,0.797
Macklemore & Ryan Lewis,Dance,Can't Hold Us - feat. Ray Dalton,3bidbhpOYeV4knp8AIu8Xn,82,0.0291,0.641,258343,0.922,0,D,0.0862,-4.457,Major,0.0786,146.078,4/4,0.847
Dua Lipa,Dance,Kiss and Make Up,7jr3iPu4O4bTCVwLMbdU2i,87,0.0658,0.678,189173,0.729,0,G#,0.303,-4.188,Major,0.137,99.895,4/4,0.643
Shakira,Dance,Hips Don't Lie,3ZFTkvIE7kyPt6Nu3PEa7V,82,0.284,0.778,218093,0.824,0,A#,0.405,-5.892,Minor,0.0712,100.024,4/4,0.756
Rita Ora,Dance,Let You Love Me,6xtcFXSo8H9BZN637BMVKS,86,0.288,0.531,190000,0.854,0,A#,0.0773,-3.149,Major,0.198,94.419,4/4,0.456
Calvin Harris,Dance,Slide (feat. Frank Ocean & Migos),6gpcs5eMhJwax4mIfKDYQk,76,0.498,0.736,230813,0.795,1.21e-06,C#,0.254,-3.299,Minor,0.0545,104.066,4/4,0.511
Christina Perri,Dance,A Thousand Years,6lanRgr6wXibZr8KgzXxBl,81,0.309,0.421,285120,0.407,0.000961,A#,0.11,-7.445,Major,0.0267,139.028,3/4,0.161
Robin Schulz,Dance,Speechless (feat. Erika Sirola),1rCcsYnmqbMYdkG7kS9GC5,88,0.0161,0.574,214942,0.728,1.42e-06,C#,0.0851,-4.777,Major,0.062,125.047,4/4,0.266
DJ Khaled,Dance,No Brainer,5WvAo7DNuPRmk4APhdPzi8,84,0.0733,0.552,260000,0.76,0,C,0.0865,-4.706,Major,0.342,135.702,5/4,0.639
Ariana Grande,Dance,everytime,0WdR2AyLW1Drd3OUdwezM0,77,0.186,0.71,172107,0.614,0,A#,0.0974,-6.757,Minor,0.0431,148.152,4/4,0.658
ITZY,Dance,달라달라 DALLA DALLA,6G7DuXoSGeAf6BZivJdEjF,82,0.00116,0.79,199874,0.853,4.23e-05,B,0.329,-4.564,Minor,0.0665,124.998,4/4,0.713
Beyoncé,Dance,Halo,4JehYebiI9JE8sR8MisGVb,79,0.272,0.508,261640,0.72,0,B,0.0563,-5.908,Minor,0.0628,79.983,4/4,0.472
Shawn Mendes,Dance,Mercy,0AS63m1wHv9n4VVRizK6Hc,82,0.125,0.555,208733,0.662,0,B,0.111,-4.952,Minor,0.0827,148.128,4/4,0.356
The Chainsmokers,Dance,Don't Let Me Down,1i1fxkWeaMmKEB4T7zqbzK,81,0.157,0.532,208373,0.869,0.00508,B,0.136,-5.094,Major,0.172,159.803,4/4,0.422
Camila Cabello,Dance,Never Be the Same,4eWQlBRaTjPPUlzacqEeoQ,81,0.181,0.637,226973,0.713,0.000637,C,0.137,-4.333,Major,0.0747,129.923,4/4,0.243
Jonas Blue,Dance,Rise,3u1S1OmAUhx5DRlLrXqyp3,86,0.323,0.69,194408,0.784,0,C#,0.203,-4.653,Major,0.032,106.066,4/4,0.669
Train,Dance,Drops of Jupiter,2hKdd3qO7cWr2Jo0Bcs0MA,78,0.154,0.468,259933,0.64,0,C,0.154,-5.862,Major,0.0275,79.297,4/4,0.499
Ariana Grande,Dance,goodnight n go,14kYOiFVPb7E7NfFbqhdln,76,0.0217,0.708,189507,0.454,0,C#,0.073,-7.07,Major,0.0395,110.963,4/4,0.24
DNCE,Dance,Cake By The Ocean,76hfruVvmfQbw0eYn1nmeC,81,0.156,0.774,219147,0.765,0,E,0.0373,-5.439,Minor,0.0502,119.001,4/4,0.917
Avicii,Dance,Wake Me Up,4h8VwCb1MTGoLKueQ1WgbD,84,0.00346,0.518,247427,0.784,0.00187,D,0.171,-5.659,Major,0.0524,124.102,4/4,0.588
Madison Beer,Dance,Home with You,0iwsQWgtjSq2kUXuZwTDAL,79,0.067,0.631,190576,0.599,0,G,0.0952,-6.137,Minor,0.0878,170.122,4/4,0.727
Maggie Lindemann,Dance,Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,78,0.15,0.703,193613,0.868,0.132,G,0.104,-4.661,Minor,0.0291,121.03,4/4,0.733
Miley Cyrus,Dance,We Can't Stop,2y4lAQpi5VTNLu2ldeTdUH,79,0.00882,0.613,231240,0.622,0,C#,0.37,-5.794,Minor,0.0334,80.003,4/4,0.484
Ariana Grande,Dance,Love Me Harder,5J4ZkQpzMUFojo1CtAZYpn,78,0.00937,0.472,236133,0.714,0,C#,0.0764,-4.389,Minor,0.0334,98.992,4/4,0.24
Hailee Steinfeld,Dance,Love Myself,36phXHOKx8rO7CMp2vNX4x,77,0.0026,0.617,218773,0.759,0,C,0.419,-6.785,Minor,0.0677,122.925,4/4,0.324
Steve Aoki,Dance,Waste It On Me (feat. BTS),2r1T6xGTVaNAqBoPH4lZEE,81,0.252,0.669,192537,0.684,0,G,0.72,-4.595,Major,0.0585,96.097,4/4,0.466
TLC,Dance,No Scrubs,1KGi9sZVMeszgZOWivFpxs,81,0.0251,0.743,214400,0.675,0.000717,G#,0.0685,-4.267,Minor,0.0953,92.909,4/4,0.59
Spice Girls,Dance,Wannabe,1Je1IMUlBXcx1Fz0WE7oPT,81,0.101,0.768,173027,0.864,0,B,0.162,-6.145,Major,0.0324,110.008,4/4,0.891
Julia Michaels,Dance,Jump (with Trippie Redd),2OvV4NjEBRE9v8Oo7QeUCq,77,0.25,0.654,207857,0.547,0,A#,0.0961,-6.598,Major,0.127,173.981,4/4,0.507
Luis Fonsi,Dance,Imposible,3ao3OVxHlb3C08vAaApUlm,88,0.122,0.786,163880,0.764,0,B,0.102,-2.935,Major,0.0798,90.979,4/4,0.913
Noah Cyrus,Dance,Again,2S2od3hT7ceytw7d1pTRuE,76,0.188,0.664,193962,0.738,5.75e-05,A,0.135,-4.095,Minor,0.0338,119.973,4/4,0.203
Niall Horan,Dance,Slow Hands,2cOUlop2ZakjOKe4WinesN,79,0.0139,0.726,188174,0.431,0,C,0.054,-6.666,Major,0.0554,85.889,4/4,0.86
a-ha,Dance,Take on Me,2WfaOiMkCvy7F5fcp2zZ8L,84,0.018,0.573,225280,0.902,0.00125,F#,0.0928,-7.638,Minor,0.054,84.412,4/4,0.876
Ansel Elgort,Dance,Supernova,2ZIZXWnU52s0C75sPYiwvh,77,0.0596,0.764,191493,0.618,0,F,0.194,-5.492,Minor,0.0873,140.09,4/4,0.655
Mario,Dance,Let Me Love You,3ibKnFDaa3GhpPGlOUj7ff,80,0.235,0.656,256733,0.578,0,G,0.118,-8.97,Minor,0.0922,94.514,4/4,0.556
Normani,Dance,Waves (feat. 6LACK),2qHk6Nz5glNQrjW8Rhd5kv,76,0.415,0.578,215671,0.588,0,C,0.114,-4.92,Minor,0.255,79.174,5/4,0.3
Lauv,Dance,Superhero,1Fo4OvzP9PThFKMeMIAEYu,79,0.82,0.681,179998,0.34,0,G,0.285,-8.617,Major,0.0339,129.98,4/4,0.417
Rihanna,Dance,Umbrella,49FYlytm3dAAraYgpoJZux,82,0.00864,0.583,275987,0.829,0,C#,0.0426,-4.603,Major,0.134,174.028,4/4,0.575
ZAYN,Dance,There You Are,155EsNGoXo7XSVF84oTPam,78,0.0257,0.452,199600,0.685,0,C,0.11,-4.828,Minor,0.0385,76.986,4/4,0.305
Zedd,Dance,Stay (with Alessia Cara),6uBhi9gBXWjanegOb2Phh0,82,0.253,0.69,210091,0.622,0,F,0.116,-5.025,Minor,0.0622,102.04,4/4,0.544
James Arthur,Dance,Rewrite The Stars (with James Arthur & Anne-Marie),78nplE9X2ZGvQh3TKgvldE,83,0.237,0.67,218293,0.743,0,A#,0.465,-4.993,Major,0.0393,125.944,4/4,0.571
